title,link,date,comuna
Los trabajadores de una mina chilena de boro en el extremo norte del país mantenían el jueves una protesta por la paralización de las faenas,https://www.redimin.cl/trabajadores-de-quiborax-mantienen-protesta-por-paralizacion-de-faenas-en-region-de-arica/,hace 5 días,arica
Hasta fin de año quedaron paralizadas las operaciones de la mina Quiborax en el salar de Surire. La medida fue criticada por el sindicato de,https://eldesconcierto.cl/2024/09/16/cierre-de-mina-en-arica-demandada-por-dano-ambiental-desata-conflicto-con-2-mil-trabajadores,hace 1 mes,arica
"La Superintendencia de Medio Ambiente investiga a la empresa minera Quiborax, luego de que la Corporación Nacional Forestal (Conaf) la",https://www.ciperchile.cl/2024/03/06/la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,hace 7 meses,arica
Trabajadores de Quiborax y camioneros marcharon en Arica ante el posible cierre de la empresa por juicio ambiental. Ocho mil empleos están,https://www.elmorrocotudo.cl/noticia/economia/marcha-por-posible-cierre-de-quiborax-en-arica-8-mil-empleos-estarian-en-riesgo-por,hace 2 meses,arica
"Ayer 20 de enero, en el consejo regional de Arica y Parinacota, liderado por Jorge Díaz (DC), se llevó a cabo la votación sobre el plan regulador,",https://www.laizquierdadiario.cl/Se-aprueba-el-nuevo-plan-regulador-tras-10-anos-de-tramitacion-que-estuvo-marcada-por,hace 9 meses,arica
"El hecho ocurrió en el kilómetro 113 de la Ruta 11CH, cuando un camión volcó con 20 mil litros de hidrocarburo en su interior, de los cuales",https://www.elciudadano.com/actualidad/desastre-ambiental-en-socoroma-derrame-de-petroleo-amenaza-salud-y-agricultura-de-la-comunidad/04/19/,hace 6 meses,arica
Trabajadores de Quiborax y camioneros marcharon en Arica ante el posible cierre de la empresa por juicio ambiental. Ocho mil empleos están,https://www.elmorrocotudo.cl/noticia/economia/marcha-por-posible-cierre-de-quiborax-en-arica-8-mil-empleos-estarian-en-riesgo-por,hace 2 meses,arica
"El hecho ocurrió en el kilómetro 113 de la Ruta 11CH, cuando un camión volcó con 20 mil litros de hidrocarburo en su interior, de los cuales",https://www.elciudadano.com/actualidad/desastre-ambiental-en-socoroma-derrame-de-petroleo-amenaza-salud-y-agricultura-de-la-comunidad/04/19/,hace 6 meses,arica
"Zona de sacrificio tendrá un nuevo complejo de basura, esta vez de residuos tóxicos mineros. El comité estuvo encabezado por la ministra de",https://www.elmostrador.cl/cultura/2024/04/18/en-medio-de-protestas-comite-de-ministros-aprobo-polemica-planta-de-basura-industrial-de-tiltil/,hace 6 meses,arica
Las manifestaciones de solidaridad han sido claves para visibilizar la situación que se viene viviendo en medio oriente frente a los ataques,https://www.laizquierdadiario.com/Crece-la-solidaridad-con-el-pueblo-palestino,hace 10 meses,arica
"En el marco del monitoreo del INDH a la correcta aplicación de procedimientos policiales, la Sede regional del INDH Arica y Parinacota",https://www.indh.cl/indh-arica-observa-marcha-de-protesta-por-actividades-mineras-en-belen/,hace 75 meses,arica
"El 23 de febrero del presente año, decenas de especies marinas principalmente pulpos entre otras vararon en las costas de Arica,",https://www.laizquierdadiario.cl/Un-debate-para-detener-la-contaminacion-de-Golden-Omega,hace 40 meses,arica
"En 1984, una empresa sueca vertió en Arica (Chile) cerca de 20.000 toneladas de residuos tóxicos con altas concentraciones de arsénico,",https://verdeyazul.diarioinformacion.com/caso-arica-20-000-toneladas-toxicas-causan-un-drama-humano-en-chile.html,hace 40 meses,arica
"Los trabajadores de Quiborax -tercera mayor productora de boro del mundo- bloquearon la ruta 11CH a Arica, causando inconvenientes a",https://www.infobae.com/america/america-latina/2024/10/22/la-paralizacion-de-una-mina-genera-caos-en-el-norte-de-chile-y-afecta-envios-a-bolivia/,hace 1 semana,arica
"Una nueva jornada de manifestaciones se efectuó ayer en la ruta 11- CH, las que implicaron el corte del camino, impidiendo el paso de",https://www.soychile.cl/arica/sociedad/2024/10/18/880861/quiborax-bloqueo-de-ruta.html,hace 1 semana,arica
"Compartir. En total fueron recibidas 88 manifestaciones de interés, distribuidas en 4 regiones. Por otro lado, 80% indicó interés por el uso",https://www.reporteminero.cl/noticia/noticias/2024/07/estrategia-nacional-litio-88-manifestaciones-interes,hace 3 meses,arica
"Sin darnos cuenta, hemos llegado a la cuarta edición de Aquí Arica, el newsletter regional con el sello de El Mostrador, el primer diario",https://www.elmostrador.cl/aqui-arica/2024/09/17/por-dano-ambiental-al-salar-de-surire-paralizan-obras-de-minera-de-un-ex-socio-de-los-sauer/,hace 1 mes,arica
"En el marco del monitoreo del INDH a la correcta aplicación de procedimientos policiales, la Sede regional del INDH Arica y Parinacota",https://www.indh.cl/indh-arica-observa-marcha-de-protesta-por-actividades-mineras-en-belen/,hace 75 meses,arica
"Desde SQM afirmaron que, al no saber por cuánto tiempo se mantendrá el bloqueo de los caminos, no les es posible estimar el impacto",https://www.elmostrador.cl/mercados/2024/01/14/manifestaciones-y-bloqueos-afectan-operaciones-de-sqm-en-el-salar-de-atacama/,hace 9 meses,arica
"""Acá no podemos observar ni un lugar donde podamos conseguir agua y alimentación, estamos en un lugar desértico"", dijo el presidente de la",https://www.vision360.bo/noticias/2024/10/18/13698-trabajadores-del-salar-de-chile-bloquean-la-ruta-arica-bolivia-400-camiones-estan-varados,hace 1 semana,arica
"Ayer 20 de enero, en el consejo regional de Arica y Parinacota, liderado por Jorge Díaz (DC), se llevó a cabo la votación sobre el plan regulador,",https://www.laizquierdadiario.cl/Se-aprueba-el-nuevo-plan-regulador-tras-10-anos-de-tramitacion-que-estuvo-marcada-por,hace 9 meses,arica
