title,link,date
"El conflicto con la minera del Grupo Luksic data hace más de doce años, agravado hace cuatro meses cuando ocurrió una nueva rotura de concetraducto de cobre",https://www.davidnoticias.cl/conflicto-ambiental-con-minera-los-pelambres-pobladores-de-panguesillo-son-reprimidos-por-carabineros-en-medio-de-toma-de-carretera-de-12-dias/,hace 21 meses
"La comunidad se tomó una de las instalaciones, ya que temen que las napas subterráneas y un pozo estén contaminados, a la luz de un reciente",https://interferencia.cl/articulos/vecinos-de-choapa-viejo-protestan-por-contaminacion-y-minera-los-pelambres-interpone,hace 17 meses
"El conflicto con la minera del Grupo Luksic data hace más de doce años, agravado hace cuatro meses cuando ocurrió una nueva rotura de concetraducto de cobre",https://www.davidnoticias.cl/conflicto-ambiental-con-minera-los-pelambres-pobladores-de-panguesillo-son-reprimidos-por-carabineros-en-medio-de-toma-de-carretera-de-12-dias/,hace 21 meses
"En una muestra de unidad sin precedentes, representantes de los gremios de empresarios de Illapel y Canela, así como las Cámaras de Comercio de ambas",https://www.davidnoticias.cl/empresarios-de-illapel-y-canela-se-movilizan-en-apoyo-al-proyecto-minero-el-espino-de-pucobre/,hace 8 meses
"La comunidad se tomó una de las instalaciones, ya que temen que las napas subterráneas y un pozo estén contaminados, a la luz de un reciente",https://interferencia.cl/articulos/vecinos-de-choapa-viejo-protestan-por-contaminacion-y-minera-los-pelambres-interpone,hace 17 meses
"La empresa minera busca que la corte reconsidere este fallo versus otros que han sido favorables para la empresa extractiva, y así revertir",https://www.miradiols.cl/2023/12/20/comienza-juicio-para-revisar-legalidad-del-rechazo-del-proyecto-minero-dominga/,hace 10 meses
"“Hemos trabajado sin problemas con todas las administraciones anteriores, de todas las tendencias, siempre de buena fe y con altura de miras",https://laserenaonline.cl/2023/03/28/pequenos-mineros-anuncian-nueva-manifestacion-contra-gobernadora-krist-naranjo/,hace 18 meses
"Diversas agrupaciones ambientalistas y habitantes de La Higuera se encuentran fuera del Ministerio de Medio Ambiente, manifestándose en",https://www.adnradio.cl/nacional/2023/01/18/en-contra-de-dominga-habitantes-de-la-higuera-y-organizaciones-ambientalistas-protestan-fuera-del-ministerio-de-medio-ambiente.html,hace 21 meses
"Personal de Carabineros enfrentó con carros lanzaguas a un grupo de manifestantes que cortó la Ruta 5 Norte en La Serena, en rechazo a la",https://www.latercera.com/nacional/noticia/cientos-de-personas-se-manifiestan-en-la-serena-y-coquimbo-en-rechazo-a-dominga/V7M5KBH6HRASJABPHV4WT4PDPY/,hace 38 meses
La Plataforma Salvemos La Coronada convoca una doble concentración contra el proyecto de la planta de biogás y por el cierre de un,https://www.elsaltodiario.com/medioambiente/coronada-se-moviliza-manana-sabado-planta-biogas-macrovertedero,hace 2 meses
"Personal de Carabineros enfrentó con carros lanzaguas a un grupo de manifestantes que cortó la Ruta 5 Norte en La Serena, en rechazo a la",https://www.latercera.com/nacional/noticia/cientos-de-personas-se-manifiestan-en-la-serena-y-coquimbo-en-rechazo-a-dominga/V7M5KBH6HRASJABPHV4WT4PDPY/,hace 38 meses
La Plataforma Salvemos La Coronada convoca una doble concentración contra el proyecto de la planta de biogás y por el cierre de un,https://www.elsaltodiario.com/medioambiente/coronada-se-moviliza-manana-sabado-planta-biogas-macrovertedero,hace 2 meses
"Con globos azules en la entrada de los locales comerciales, locatarios de La Serena se unieron a una manifestación pacífica por la seguridad",https://laserenaonline.cl/2024/05/15/globos-azules-protesta-silenciosa-en-el-centro-de-la-serena/,hace 5 meses
Los apoderados del colegio Santo Tomás de La Serena se manifestaron frente al establecimiento para exigir la expulsión de dos estudiantes,https://laserenaonline.cl/2024/06/12/apoderados-del-colegio-santo-tomas-la-serena-se-manifestaron-tras-pelea-de-estudiantes/,hace 4 meses
"En el contexto del estallido social de octubre del 2019, junto a las manifestaciones masivas registradas en la zona, se sumaron también",https://www.elquiglobal.cl/manifestaciones-por-la-sequia-en-el-valle-del-elqui/,hace 8 meses
"La desigualdad social, la tardía respuesta del gobierno ante las movilizaciones, las expectativas no cumplidas y el rol de los estudiantes",https://www.bbc.com/mundo/noticias-america-latina-50115798,hace 60 meses
Las personas que se mantienen movilizadas exigen una compensación económica por los supuestos efectos del varamiento de la plataforma Belfi,https://losviloschile.cl/actualidad/minera-los-pelambres-tras-bloqueo-de-acceso-a-puerto-punta-chungo-se-descarto-cualquier-impacto-ambiental-en-la-zona/,hace 18 meses
"La comunidad se tomó una de las instalaciones, ya que temen que las napas subterráneas y un pozo estén contaminados, a la luz de un reciente",https://interferencia.cl/articulos/vecinos-de-choapa-viejo-protestan-por-contaminacion-y-minera-los-pelambres-interpone,hace 17 meses
"En un acto de protesta pacífica que inició el pasado lunes, las dirigentes del Sindicato de Mujeres Pescadoras Lord Willow de Los Vilos han tomado la ruta",https://www.davidnoticias.cl/dirigentes-del-sindicato-de-mujeres-pescadoras-lord-willow-de-los-vilos-denuncian-incumplimientos-de-acuerdos-por-parte-de-minera-los-pelambres/,hace 3 meses
"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,hace 7 meses
Un grupo de manifestantes provenientes de las tres provincias llegaron hasta la intendencia protestando por lo que califican como mal manejo,https://www.semanariotiempo.cl/protesta-en-contexto-de-sequia-segun-los-manifestantes-la-marcha-por-el-agua-es-un-grito-de-auxilio/,hace 44 meses
"Los habitantes del sector de Pichidangui y Quilimarí de la comuna de Los Vilos, afirman que no pueden más ante la falta de agua potable,",https://www.diarioeldia.cl/noticias/2023/09/26/115376-comision-investigadora-analizara-denuncias-por-calidad-del-agua-en-los-vilos,hace 12 meses
"Caimanes. ¿Qué es eso? Pocos lo saben. Por eso fui junto a mi hija y unos amigos hasta allá: a Caimanes, un pueblo en la comuna de Los Vilos",https://www.ciperchile.cl/2015/01/28/caimanes-el-pueblo-que-la-minera-del-grupo-luksic-dejo-sin-agua/,hace 116 meses
"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,hace 7 meses
Las personas que se mantienen movilizadas exigen una compensación económica por los supuestos efectos del varamiento de la plataforma Belfi,https://losviloschile.cl/actualidad/minera-los-pelambres-tras-bloqueo-de-acceso-a-puerto-punta-chungo-se-descarto-cualquier-impacto-ambiental-en-la-zona/,hace 18 meses
"La comunidad se tomó una de las instalaciones, ya que temen que las napas subterráneas y un pozo estén contaminados, a la luz de un reciente",https://interferencia.cl/articulos/vecinos-de-choapa-viejo-protestan-por-contaminacion-y-minera-los-pelambres-interpone,hace 17 meses
"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,hace 7 meses
