title,link,date,comuna
"Los habitantes del sector bloquearon la carretera que une Concepción con la Provincia de Arauco, exigiendo una solución al problema que los",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/09/08/vecinos-de-fuerte-viejo-en-lota-prenden-barricadas-en-la-ruta-160-seria-por-prolongado-corte-de-agua.shtml,hace 13 meses,Lota
"4/02 Trabajadores de la Fenats de Lota denuncian que el Hospital de la ex comuna minera, se inundó con aguas servidas. ",https://resumen.cl/articulos/lota-resumen-2010,hace 166 meses,Lota
"Las fuertes lluvias registradas en la Región del Biobío causaron el anegamiento de dos consultorios y el Hospital de Lota, que según sus",https://cooperativa.cl/noticias/pais/region-del-biobio/lluvias-provocaron-inundacion-en-el-hospital-de-lota/2014-06-06/115133.html,hace 124 meses,Lota
"Descubre cómo el poderoso sistema frontal que azotó a Santiago dejó un rastro de caos en las calles, con semáforos apagados,",https://reportediario.cl/2024/06/13/caos-en-las-calles-de-santiago-semaforos-apagados-inundaciones-y-acumulacion-de-agua-por-el-intenso-sistema-frontal/,hace 4 meses,Lota
"Con una millonaria inversión y un historial de conflictividad a cuestas, la empresa Aclara ingresó su Estudio de Impacto Ambiental con",https://resumen.cl/articulos/penco-en-la-mira-de-la-mineria-proyecto-de-tierras-raras-ingreso-a-tramitacion-ambiental,hace 17 meses,Penco
"El interés minero nuevamente se enfoca en Penco. Y es que durante estas últimas semanas, se dio a conocer públicamente que la empresa Aclara",https://www.diarioconcepcion.cl/politica/2024/02/25/cores-evaluan-pronunciamiento-politico-por-proyecto-minero-en-penco.html,hace 8 meses,Penco
"Con una millonaria inversión y un historial de conflictividad a cuestas, la empresa Aclara ingresó su Estudio de Impacto Ambiental con",https://resumen.cl/articulos/penco-en-la-mira-de-la-mineria-proyecto-de-tierras-raras-ingreso-a-tramitacion-ambiental,hace 17 meses,Penco
"Principal organización vecinal, junto a un concejal y arquitecto, diseñador del proyecto de Parque para Penco, entre otros,",https://www.diarioconcepcion.cl/economia/2024/02/21/no-cederemos-un-milimetro-en-esto-vecinos-y-agrupaciones-de-penco-dudan-de-nuevo-proyecto-de-tierra-raras.html,hace 8 meses,Penco
[resumen.cl] «Proyecto de Desarrollo Minero de Extracción de Arcillas para Producción de Concentrado de Tierras Raras» es,https://resumen.cl/articulos/empresa-minera-volvio-a-ingresar-proyecto-para-explotar-tierras-raras-en-penco-cuenta-con-cinco-tramitaciones-ambientales-fallidas,hace 4 meses,San Pedro de La Paz
Marcha multisectorial protesta por la falta de dólares y en rechazo a los resultados del Censo. Reclamando por una falta de soluciones a,https://www.nodal.am/2024/09/gremios-y-movimientos-sociales-protestaron-por-la-falta-de-dolares-y-contra-los-resultados-del-censo/,hace 1 mes,San Pedro de La Paz
"En un ambiente de profunda alegría y devoción se celebró la Misa de cierre de la festividad de Nuestra Señora de la Candelaria, en el día de",https://iglesiadeconcepcion.cl/noticias/con-devocion-se-vivio-la-misa-de-cierre-y-procesion-de-la-virgen-de-la-candelaria-en-san-pedro-de-la-paz/,hace 8 meses,San Pedro de La Paz
Marcha multisectorial protesta por la falta de dólares y en rechazo a los resultados del Censo. Reclamando por una falta de soluciones a,https://www.nodal.am/2024/09/gremios-y-movimientos-sociales-protestaron-por-la-falta-de-dolares-y-contra-los-resultados-del-censo/,hace 1 mes,San Pedro de La Paz
"Como un padecimiento constante calificó Ana Albornoz, alcaldesa de Sta. Juana, la situación del agua en la comuna, problemática",https://resumen.cl/articulos/mas-de-mil-familias-de-sta-juana-viven-con-50-litros-de-agua-al-dia-alcaldesa-denuncio-abandono-sostenido-por-parte-del-estado,hace 34 meses,Santa Juana
"Vicente Lagos Isla / resumen.cl Tanto el funcionamiento de empresas de tecnología y servicios, como el desarrollo del complejo militar",https://resumen.cl/articulos/tierras-raras-mineria-guerra-comercial-biobio-peligro-latente-region,hace 64 meses,Santa Juana
Nora Sánchez / @norasan16 / Mérida.-. Desde las 4:30 de la tarde de este martes se registra en la ciudad de Mérida el colapso del tránsito,https://www.analitica.com/actualidad/actualidad-nacional/merida-colapsada-por-multiples-trancas-en-protesta-contra-la-constituyente/,hace 88 meses,Santa Juana
"Como un padecimiento constante calificó Ana Albornoz, alcaldesa de Sta. Juana, la situación del agua en la comuna, problemática",https://resumen.cl/articulos/mas-de-mil-familias-de-sta-juana-viven-con-50-litros-de-agua-al-dia-alcaldesa-denuncio-abandono-sostenido-por-parte-del-estado,hace 34 meses,Santa Juana
"""Mis hijos presenciaron eso, para ellos es algo normal""; ""solo estaban danzando""; y ""no estoy de acuerdo con que pase en un colegio,",https://www.latercera.com/la-tercera-pm/noticia/recreo-milagroso-padres-y-apoderados-del-colegio-tocado-por-el-espiritu-santo-defienden-lo-ocurrido/580203/,hace 67 meses,Santa Juana
[resumen.cl] Más de 100 habitantes de la comuna de Santa Juana realizaron este mediodía una marcha y posterior corte en la Ruta de la,https://resumen.cl/articulos/vecinas-y-vecinos-de-santa-juana-cortaron-ruta-de-la-madera-exigiendo-regular-transito-de-camiones-forestales,hace 61 meses,Santa Juana
Nora Sánchez – Mérida. @norasan16. A las 3:30 de tarde de este viernes 30 de junio murió en el Hospital Universitario de Los Andes (HULA) el,https://www.analitica.com/actualidad/murio-en-merida-sexta-victima-de-represion-en-protestas/,hace 88 meses,Santa Juana
"No era una caravana del hambre, como perversamente se le ha querido presentar, porque no veníamos a mendigar mendrugos debajo de la mesa de los ricos y",https://www.cndh.org.mx/noticia/huelga-minera-de-nueva-rosita-cloete-y-palau-coahuila-en-defensa-de-los-derechos-laborales,hace 36 meses,Santa Juana
"Hoy por hoy, vecinos de Santa Juana reciben 50 litros diarios de agua en el marco de la escasez hídrica y sequía que golpea a la comuna y la",https://www.tvu.cl/prensa/tvu-noticias/2021/12/22/sequia-vecinos-de-santa-juana-protestan-ante-poca-preocupacion-de-autoridades.html,hace 34 meses,Santa Juana
"Como un padecimiento constante calificó Ana Albornoz, alcaldesa de Sta. Juana, la situación del agua en la comuna, problemática",https://resumen.cl/articulos/mas-de-mil-familias-de-sta-juana-viven-con-50-litros-de-agua-al-dia-alcaldesa-denuncio-abandono-sostenido-por-parte-del-estado,hace 34 meses,Santa Juana
Una grave crisis hídrica denunciaron los vecinos de Santa Juana tras los incendios forestales y nuevas plantaciones de eucalipto de forestal,https://www.elciudadano.com/actualidad/vecinos-de-santa-juana-protestan-por-grave-escasez-de-agua-a-causa-de-plantaciones-de-empresas-forestales/07/07/,hace 15 meses,Santa Juana
Una grave crisis hídrica denunciaron los vecinos de Santa Juana tras los incendios forestales y las nuevas plantaciones de eucalipto de la,https://www.canal9.cl/episodios/2023/07/07/vecinos-de-santa-juana-protestan-por-escasez-de-agua-crisis-aumento-tras-incendios,hace 15 meses,Santa Juana
"""Patagual no es cementerio ni basurero"" y ""llévense sus cadáveres de nuestro valle"", son algunas de las frases que se pueden leer en las",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/05/27/vecinos-protestan-contra-entierro-de-lobos-marinos-en-patagual-mantienen-cortada-la-ruta-de-la-madera.shtml,hace 17 meses,Santa Juana
"La concentración y posterior marcha contó con decenas de integrantes del sindicato del liceo La Asunción de Talcahuano, además de alumnos y",https://resumen.cl/articulos/concepcion-sindicato-del-colegio-la-asuncion-de-talcahuano-protesto-contra-el-despido-masivo-de-trabajadores-efectuado-previo-a-la-navidad,hace 10 meses,Talcahuano
"Organizaciones, vecinos de la laguna El Recamo de Talcahuano y concejales de la comuna se reunieron para protestar por el hedor constante",https://www.diarioconcepcion.cl/ciudad/2023/04/04/no-queremos-mas-mal-olor-vecinos-de-talcahuano-exigen-solucion-a-contaminacion.html,hace 18 meses,Talcahuano
Más de un centenar de personas marchó esta semana en Talcahuano para manifestar su rechazo al proyecto que pretende la instalación de,https://www.elciudadano.com/chile/talcahuano-habitantes-de-caleta-tumbes-rechazan-instalacion-de-salmoneras-en-la-zona/07/20/,hace 63 meses,Talcahuano
"Ayer estaba agendada, la reanudación de los alegatos por los recursos que buscan revocar la aprobación ambiental, del proyecto GNL",https://www.tvu.cl/prensa/2020/05/15/tribunal-ambiental-reprogramo-alegatos-en-contra-de-proyecto-gnl-talcahuano.html,hace 53 meses,Talcahuano
"Desde la Escuela República del Perú vecinas, padres, apoderados, profesores y organizaciones medioambientales se movilizaron para decirle",https://www.colegiodeprofesores.cl/2023/03/14/hualpen-movilizaciones-y-sumario-sanitario-contra-enap-refinerias/,hace 19 meses,Talcahuano
"Tumbes sin salmoneras”. Así dice el lienzo que encabeza la marcha protagonizada por un grupo de vecinos de Talcahuano, quienes",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2019/07/19/vecinos-de-talcahuano-protagonizan-marcha-en-contra-de-proyecto-de-salmoneras-en-caleta-tumbes.shtml,hace 63 meses,Talcahuano
Compartir. Los Sindicato N° 1 y N°2 de Trabajadores de Huachipato realizaron un llamado a manifestarse frente a la suspensión indefinida de,https://www.reporteminero.cl/noticia/noticias/2024/03/presidente-sindicato-n1-de-huachipato-parece-logico-e-importante-tener-una-alianza-estrategica,hace 7 meses,Talcahuano
Vecinos de diversas comunas de la Región Metropolitana y regiones del país han comenzado a realizar cacerolazos en protesta por los extensos,https://www.canal9.cl/episodios/noticias/2024/08/05/vecinos-de-talcahuano-protestaron-por-extensos-cortes-de-luz-tras-sistema-frontal,hace 2 meses,Talcahuano
Grupos de vecinos en distintos lugares de la región Metropolitana y también en regiones comenzaron a realizar cacerolazos durante la,https://www.biobiochile.cl/noticias/nacional/chile/2024/08/04/vecinos-pierden-la-paciencia-e-inician-cacerolazos-por-extensos-cortes-de-luz-tras-sistema-frontal.shtml,hace 2 meses,Talcahuano
"Forestal Arauco bloqueó con maquinaria el camino vecinal de diversas comunidades en Tomé. Mediante maquinaria pesada y enormes zanjas,",https://resumen.cl/articulos/bosques-arauco-cerro-caminos-vecinales-en-tome-pobladores-acusan-hostigamiento-y-represion,hace 4 meses,Tome
La movilización de los campesinos parameros tiene como objetivo principal la defensa de sus territorios y el derecho a desarrollar,https://www.laopinion.co/region/atencion-tome-precauciones-bloquearan-desde-el-lunes-cucuta-bucaramanga,hace 1 semana,Tome
Los ministros de Agricultura de la UE abordarán este lunes la propuesta de la Comisión Europea para relajar los requisitos medioambientales,https://www.rtve.es/noticias/20240226/27-debaten-entre-protestas-tractoradas-plan-bruselas-relajar-requisitos-ambientales-para-obtener-pac/15985763.shtml,hace 8 meses,Tome
"Este martes, un grupo de jóvenes liderado por el bombero voluntario de Tarija, Josué Colque, marchó por las principales calles de la ciudad",https://lavozdetarija.com/2024/09/11/jovenes-de-tarija-marchan-en-protesta-exigiendo-que-el-gobierno-tome-medidas-urgentes-frente-a-los-incendios-en-el-oriente-boliviano/,hace 1 mes,Tome
"Telde (Gran Canaria) (EFE).- El expresidente de Canarias Ángel Víctor Torres ha pedido a su sucesor, Fernando Clavijo, de CC, que tome nota",https://efe.com/canarias/2024-04-19/torres-pide-a-clavijo-que-tome-nota-de-las-manifestaciones-y-le-ofrece-apoyo-del-psoe-para-promover-cambios/,hace 6 meses,Tome
Por votación unánime García Chávez fue elegida Coordinadora Parlamentaria de MORENA y por ende Presidenta de la Junta de Gobierno y,https://impulsoinformativo.net/laura-artemisa-garcia-chavez-sera-quien-le-tome-protesta-como-gobernador-a-armenta/,hace 2 meses,Tome
El Conade también hizo una representación ante el presidente del Estado exigiendo que por iniciativa del Gobierno se abroguen las leyes,https://www.noticiasfides.com/cuidado-de-la-casa-comun/activistas-en-protesta-por-los-incendios-y-la-contaminacion-venden-cenizas-y-agua-con-mercurio,hace 10 meses,Tome
"A unas horas de que Joaquín Díaz Mena tome protesta como gobernador constitucional del estado de Yucatán, el ambiente en el Centro Histórico",https://24horasyucatan.mx/2024/09/30/yucatan-ambiente-de-fiesta-previo-a-la-toma-de-protesta-de-diaz-mena/,hace 1 mes,Tome
"Forestal Arauco bloqueó con maquinaria el camino vecinal de diversas comunidades en Tomé. Mediante maquinaria pesada y enormes zanjas,",https://resumen.cl/articulos/bosques-arauco-cerro-caminos-vecinales-en-tome-pobladores-acusan-hostigamiento-y-represion,hace 4 meses,Tome
Los ministros de Agricultura de la UE abordarán este lunes la propuesta de la Comisión Europea para relajar los requisitos medioambientales,https://www.rtve.es/noticias/20240226/27-debaten-entre-protestas-tractoradas-plan-bruselas-relajar-requisitos-ambientales-para-obtener-pac/15985763.shtml,hace 8 meses,Tome
"Telde (Gran Canaria) (EFE).- El expresidente de Canarias Ángel Víctor Torres ha pedido a su sucesor, Fernando Clavijo, de CC, que tome nota",https://efe.com/canarias/2024-04-19/torres-pide-a-clavijo-que-tome-nota-de-las-manifestaciones-y-le-ofrece-apoyo-del-psoe-para-promover-cambios/,hace 6 meses,Tome
Representantes del Sindicato Nacional de trabajadores de Salud de Guatemala convocaron a una jornada de manifestaciones en el centro,https://tvaztecaguate.com/nacionales/2024/05/07/tome-vias-alternas-saludristas-convocan-a-manifestacion-este-martes/,hace 5 meses,Tome
El presidente Gustavo Petro tendrá que activar sus mecanismos de diálogo para darle salida a un paro que se le activó en distintos frentes:,https://www.elcolombiano.com/colombia/paro-minero-se-extendio-a-seis-departamentos-CH25667151,hace 1 semana,Tome
Los sindicatos N1 y N2 de trabajadores de la Fundición Paipote valoraron la convocatoria de la presidenta de Asociaciones Gremialistas de la,https://www.chanarcillo.cl/sindicatos-y-representantes-mineros-de-atacama-apoyan-convocatoria-de-marcha-nacional-debido-al-posible-cierre-anticipado-de-fundicion-paipote/,hace 9 meses,Tome
Población del Valle del Tambo rechaza el proyecto minero de la compañia Southern. Aseguran que no ha demostrado ser beneficioso para la,https://www.infobae.com/peru/2024/07/06/tia-maria-no-tiene-licencia-social-alcaldes-de-islay-y-juntas-agricolas-de-arequipa-exigen-al-gobierno-detener-operaciones/,hace 3 meses,Tome
"El Supremo panameño debatirá la vigencia y validez de la Ley 406, referente a un contrato de concesión minera entre el Estado y la compañía",https://www.vozdeamerica.com/a/corte-suprema-de-justicia-de-panama-define-inconstitucionalidad-de-contrato-minero/7369112.html,hace 11 meses,Tome
Comuneros de Molleturo han resistido a las actividades mineras en la zona por más de 20 años y ahora piden la salida de la empresa que allí,https://es.mongabay.com/2018/05/protesta-mineria-rio-blanco-ecuador/,hace 77 meses,Tome
"El abogado Giovanni Olmos, exfiscal de delitos ambientales de Panamá, pide al gobierno que convoque a un diálogo multisectorial ""hoy mismo”,",https://www.dw.com/es/presidente-de-panam%25C3%25A1-entre-dos-fuegos-por-acuerdo-con-minera-fqm/a-67271762,hace 11 meses,Tome
"Ciudad de Panamá, 27 nov (Prensa Latina) Después de un receso, el pleno de la Corte Suprema de Justicia de Panamá (CSJ) retomará hoy el",https://www.elpais.cr/2023/11/27/corte-suprema-de-panama-retoma-debate-de-ley-sobre-concesion-minera/,hace 11 meses,Tome
"Foto: AVC Noticias Ciudad de México, a 25 de junio de 2024.- Las organizaciones firmantes expresamos nuestro rechazo y reiteramos nuestra",https://articulo19.org/condenamos-las-violaciones-al-derecho-a-la-protesta-y-los-ataques-contra-las-personas-defensoras-de-derechos-humanos-y-el-agua-de-la-cuenca-de-libres-oriental/,hace 4 meses,Tome
"Santiago. La agudización de la falta de servicio de agua potable ha desencadenado una serie de protestas en comunidades de Santiago,",https://www.elcaribe.com.do/panorama/region-norte/sectores-santiago-llevan-hasta-tres-anos-sin-agua/,hace 1 mes,Tome
"Desde la Escuela República del Perú vecinas, padres, apoderados, profesores y organizaciones medioambientales se movilizaron para decirle",https://www.colegiodeprofesores.cl/2023/03/14/hualpen-movilizaciones-y-sumario-sanitario-contra-enap-refinerias/,hace 19 meses,Hualpen
Ocho años han esperado las y los vecinos de la Villa El Triángulo de Hualpén para recibir un subsidio que les permita relocalizar sus,https://resumen.cl/articulos/vecinas-os-de-hualpen-exigen-al-serviu-y-enap-relocalizacion-y-mejoras-en-subsidios-tras-anos-expuestos-a-contaminacion,hace 21 meses,Hualpen
La alcaldesa de Hualpén aseguró que hace ocho meses comenzó a denunciar ante diversas entidades una construcción irregular que se desarrolla,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2020/06/10/denuncian-construccion-irregular-santuario-la-naturaleza-hualpen-talaron-arboles-nativos.shtml,hace 52 meses,Hualpen
"La autoridad recalca que Hualpén merece obtener el beneficio al igual que las otras 6 comunas del país que tienen termoeléctricas,",https://www.soychile.cl/concepcion/sociedad/2024/06/25/865978/solicitan-descuento-tarifa-luz-hualpen.html,hace 4 meses,Hualpen
"Desde la Escuela República del Perú vecinas, padres, apoderados, profesores y organizaciones medioambientales se movilizaron para decirle",https://www.colegiodeprofesores.cl/2023/03/14/hualpen-movilizaciones-y-sumario-sanitario-contra-enap-refinerias/,hace 19 meses,Hualpen
"[resumen.cl] Durante la jornada de hoy miércoles 17 de marzo, vecinas y vecinos de Caleta Lenga en la comuna de Hualpén se manifestaron por",https://resumen.cl/articulos/comunidad-de-lenga-se-manifiesta-por-grave-sequia-que-afecta-a-humedal-lenga-en-santuario-peninsula-de-hualpen,hace 43 meses,Hualpen
"Ante el corte de la vía registrado en Hualpén en la intersección de las calles Padre de las Casas con Postdam, este jueves por la",https://www.diarioconcepcion.cl/ciudad/2023/10/30/serviu-aclara-controversia-por-construccion-de-complejo-habitacional-en-hualpen.html,hace 12 meses,Hualpen
